Date,Close,Open,High,Low,Vol,% Change
2016-04-29,598.37,591.20,599.71,591.20,124.90K,1.13%
2016-05-04,599.07,595.95,603.08,592.43,143.70K,0.12%
2016-05-05,601.51,600.66,605.21,600.50,134.81K,0.41%
2016-05-06,606.52,602.40,608.94,602.17,120.43K,0.83%
2016-05-09,603.85,610.92,612.97,603.85,145.39K,-0.44%
2016-05-10,605.05,600.35,605.46,597.74,143.70K,0.20%
2016-05-11,614.06,606.60,614.06,606.06,162.84K,1.49%
2016-05-12,612.12,615.55,617.56,612.12,93.54K,-0.32%
2016-05-13,610.82,612.32,615.30,608.04,110.63K,-0.21%
2016-05-16,615.78,610.13,616.17,608.49,109.34K,0.81%
2016-05-17,624.75,620.54,626.12,618.67,126.85K,1.46%
2016-05-18,622.45,625.53,627.81,621.79,135.29K,-0.37%
2016-05-19,619.20,621.83,623.68,618.13,141.47K,-0.52%
2016-05-20,614.81,620.72,622.48,614.41,138.84K,-0.71%
2016-05-23,611.03,616.11,616.83,610.45,99.92K,-0.61%
2016-05-24,611.62,612.23,613.14,608.15,115.55K,0.10%
2016-05-25,611.89,613.96,616.38,611.89,139.39K,0.04%
2016-05-26,604.34,611.88,613.37,604.34,116.59K,-1.23%
2016-05-27,608.11,604.36,609.94,603.23,102.56K,0.62%
2016-05-30,614.50,609.98,615.52,608.46,111.12K,1.05%
2016-05-31,618.44,616.22,621.14,614.68,121.51K,0.64%
2016-06-01,619.86,618.18,620.24,616.33,113.21K,0.23%
2016-06-02,623.37,619.19,624.52,618.38,126.64K,0.57%
2016-06-03,621.88,623.21,625.19,621.62,124.29K,-0.24%
2016-06-06,620.05,621.09,624.55,616.98,133.23K,-0.29%
2016-06-07,624.65,622.40,624.69,620.05,115.27K,0.74%
2016-06-08,627.87,626.84,632.68,626.29,139.31K,0.52%
2016-06-09,631.26,628.40,631.26,626.27,119.51K,0.54%
2016-06-10,629.84,629.95,633.47,628.56,134.28K,-0.22%
2016-06-13,623.58,626.26,627.36,621.40,127.06K,-0.99%
2016-06-14,625.43,621.63,626.40,619.13,99.80K,0.30%
2016-06-15,627.02,624.63,628.75,621.76,130.31K,0.25%
2016-06-16,625.11,627.38,630.21,625.11,122.41K,-0.30%
2016-06-17,619.25,622.92,624.59,618.16,148.65K,-0.94%
2016-06-20,626.46,622.04,626.46,620.41,115.10K,1.16%
2016-06-21,628.00,629.03,631.96,628.00,127.75K,0.25%
2016-06-22,626.41,628.77,629.95,625.81,107.96K,-0.25%
2016-06-23,632.27,626.47,632.60,626.47,117.11K,0.94%
2016-06-24,620.77,631.77,631.77,597.68,270.17K,-1.82%
2016-06-27,621.27,616.19,621.27,608.26,107.96K,0.08%
2016-06-28,622.20,617.68,624.85,617.65,89.28K,0.15%
2016-06-29,630.12,623.56,631.25,623.56,122.31K,1.27%
2016-06-30,632.26,633.17,637.46,631.74,106.17K,0.34%
2016-07-01,640.30,632.26,643.55,632.26,126.00K,1.27%
2016-07-04,647.96,643.11,647.96,641.96,137.07K,1.20%
